Full Code,Segment1 (recency),Segment2 (gift range),Segment3 (multi/single),Project Number
R15A1,0-12 month,$10-$24.99,Multi/Single,2871
R15A2,0-12 month,$25-$49.99,Multi/Single,2871
R15A3,0-12 month,$50-$99.99,Multi/Single,2871
R15A4,0-12 month,$100-$499,Multi/Single,2871
R15A5,0-12 month,$500-$999.99,Multi/Single,2871
R15A6,0-12 month,$1000-$2499.99,Multi/Single,2871
R15A7,0-12 month,$2500-$5000,Multi/Single,2871
R15B1,13-24 month,$10-$24.99,Multi/Single,2871
R15B2,13-24 month,$25-$49.99,Multi/Single,2871
R15B3,13-24 month,$50-$99.99,Multi/Single,2871
R15B4,13-24 month,$100-$499,Multi/Single,2871
R15B5,13-24 month,$500-$999.99,Multi/Single,2871
R15B6,13-24 month,$1000-$2499.99,Multi/Single,2871
R15B7,13-24 month,$2500-$5000,Multi/Single,2871
R15C1,25-36 month,$10-$24.99,Multi/Single,2871
R15C2,25-36 month,$25-$49.99,Multi/Single,2871
R15C3,25-36 month,$50-$99.99,Multi/Single,2871
R15C4,25-36 month,$100-$499,Multi/Single,2871
R15C5,25-36 month,$500-$999.99,Multi/Single,2871
R15C6,25-36 month,$1000-$2499.99,Multi/Single,2871
R15C7,25-36 month,$2500-$5000,Multi/Single,2871
R15D1,37-48 month,$10-$24.99,Multi/Single,2871
R15D2,37-48 month,$25-$49.99,Multi/Single,2871
R15D3,37-48 month,$50-$99.99,Multi/Single,2871
R15D4,37-48 month,$100-$499,Multi/Single,2871
R15D5,37-48 month,$500-$999.99,Multi/Single,2871
R15D6,37-48 month,$1000-$2499.99,Multi/Single,2871
R15D7,37-48 month,$2500+,Multi/Single,2871
R15E1,49-60 month,$10-$24.99,Multi/Single,2871
R15E2,49-60 month,$25-$49.99,Multi/Single,2871
R15E3,49-60 month,$50-$99.99,Multi/Single,2871
R15E4,49-60 month,$100-$499,Multi/Single,2871
R15E5,49-60 month,$500-$999.99,Multi/Single,2871
R15E6,49-60 month,$1000-$2499.99,Multi/Single,2871
R15E7,49-60 month,$2500+,Multi/Single,2871
R15F1,61-72 month,$10-$24.99,Multi/Single,2871
R15F2,61-72 month,$25-$49.99,Multi/Single,2871
R15F3,61-72 month,$50-$99.99,Multi/Single,2871
R15F4,61-72 month,$100-$499,Multi/Single,2871
R15F5,61-72 month,$500-$999.99,Multi/Single,2871
R15F6,61-72 month,$1000-$2499.99,Multi/Single,2871
R15F7,61-72 month,$2500+,Multi/Single,2871
R15G1,73-84 month,$10-$24.99,Multi/Single,2871
R15G2,73-84 month,$25-$49.99,Multi/Single,2871
R15G3,73-84 month,$50-$99.99,Multi/Single,2871
R15G4,73-84 month,$100-$499,Multi/Single,2871
R15G5,73-84 month,$500-$999.99,Multi/Single,2871
R15G6,73-84 month,$1000-$2499.99,Multi/Single,2871
R15G7,73-84 month,$2500+,Multi/Single,2871
R15H1,85-96 month,$10-$24.99,Multi/Single,2871
R15H2,85-96 month,$25-$49.99,Multi/Single,2871
R15H3,85-96 month,$50-$99.99,Multi/Single,2871
R15H4,85-96 month,$100-$499,Multi/Single,2871
R15H5,85-96 month,$500-$999.99,Multi/Single,2871
R15H6,85-96 month,$1000-$2499.99,Multi/Single,2871
R15H7,85-96 month,$2500+,Multi/Single,2871
R15H8,85-96 month,$1-$4.99,Multi/Single,2871
R15H9,85-96 month,$5-$9.99,Multi/Single,2871
R15I1,97+ month,$10-$24.99,Multi/Single,2871
R15I2,97+ month,$25-$49.99,Multi/Single,2871
R15I3,97+ month,$50-$99.99,Multi/Single,2871
R15I4,97+ month,$100-$499,Multi/Single,2871
R15I5,97+ month,$500-$999.99,Multi/Single,2871
R15I6,97+ month,$1000-$2499.99,Multi/Single,2871
R15I7,97+ month,$2500+,Multi/Single,2871
R15I8,97+ month,$1-$4.99,Multi/Single,2871
R15I9,97+ month,$5-$9.99,Multi/Single,2871
