R15A1,1296,143,1,1
R15A2,2187,221,1,2
R15A3,868,91,1,3
R15A4,688,58,1,4
R15A6,32,1,1,6
R15B1,744,26,2,1
R15B2,1208,25,2,2
R15B3,457,13,2,3
R15B4,306,3,2,4
R15C1,651,13,3,1
R15C2,1147,18,3,2
R15C3,308,6,3,3
R15D1,443,6,4,1
R15D2,904,15,4,2
R15D3,175,2,4,3
R15D4,143,3,4,4
R15E1,359,2,5,1
R15E2,902,10,5,2
R15E3,159,1,5,3
R15E4,137,2,5,4
R15F1,217,1,6,1
R15F2,320,5,6,2
R15F3,88,2,6,3
R15G1,469,1,7,1
R15G2,643,5,7,2
R15G3,195,1,7,3
R15G4,96,1,7,4
R15H1,424,2,8,1
R15H2,555,3,8,2
R15I1,20775,53,9,1
R15I2,12720,34,9,2
R15I3,2966,12,9,3
R15I4,1586,2,9,4
